acl 1
advcl 2          
advmod  3           
advmod:emph 4     
amod  5             
appos 6            
aux:q 7            
case  8             
cc  9              
ccomp 10         
compound  11        
compound:lvc  12    
compound:redup  13  
conj  14        
cop 15             
csubj  16           
dep 17            
det 18             
discourse 19       
fixed 20          
flat  21            
mark  22            
nmod  23            
nmod:poss 24       
nsubj 25    
nummod  26          
obj 27             
obl 28              
parataxis 29
pobj  30
prep  31       
punct 32           
root  33            
vocative  34
